#time	counts
25.4331496	1.5259E-05
25.4453712	1.5259E-05
25.4575928	0
25.4698144	0
25.482036	1.5259E-05
25.4942576	0
25.5064792	4.57771E-05
25.5187008	7.62951E-05
25.5309224	1.5259E-05
25.543144	0
25.5553656	0
25.5675872	3.0518E-05
25.5798088	3.0518E-05
25.5920304	6.10361E-05
25.604252	4.57771E-05
25.6164736	1.5259E-05
25.6286952	0
25.6409168	1.5259E-05
25.6531384	0
25.66536	0
25.6775816	1.5259E-05
25.6898032	1.5259E-05
25.7020248	1.5259E-05
25.7142464	1.5259E-05
25.726468	0
25.7386896	1.5259E-05
25.7509112	1.5259E-05
25.7631328	0
25.7753544	1.5259E-05
25.787576	0
25.7997976	1.5259E-05
25.8120192	4.57771E-05
25.8242408	3.0518E-05
25.8364624	1.5259E-05
25.848684	0
25.8609056	1.5259E-05
25.8731272	4.57771E-05
25.8853488	1.5259E-05
25.8975704	1.5259E-05
25.909792	3.0518E-05
25.9220136	1.5259E-05
25.9342352	3.0518E-05
25.9464568	1.5259E-05
25.9586784	0
25.9709	1.5259E-05
25.9831216	0
25.9953432	1.5259E-05
26.0075648	1.5259E-05
26.0197864	0
26.032008	1.5259E-05
26.0442296	0
26.0564512	0
26.0686728	0
26.0808944	4.57771E-05
26.093116	6.10361E-05
26.1053376	3.0518E-05
26.1175592	3.0518E-05
26.1297808	1.5259E-05
26.1420024	1.5259E-05
26.154224	0
26.1664456	1.5259E-05
26.1786672	0
26.1908888	6.10361E-05
26.2031104	1.5259E-05
26.215332	1.5259E-05
26.2275536	0
26.2397752	1.5259E-05
26.2519968	0
26.2642184	0
26.27644	4.57771E-05
26.2886616	3.0518E-05
26.3008832	1.5259E-05
26.3131048	0
26.3253264	6.10361E-05
26.337548	4.57771E-05
26.3497696	4.57771E-05
26.3619912	0
26.3742128	0
26.3864344	1.5259E-05
26.398656	3.0518E-05
26.4108776	1.5259E-05
26.4230992	1.5259E-05
26.4353208	1.5259E-05
26.4475424	1.5259E-05
26.459764	1.5259E-05
26.4719856	3.0518E-05
26.4842072	1.5259E-05
26.4964288	1.5259E-05
26.5086504	3.0518E-05
26.520872	1.5259E-05
26.5330936	3.0518E-05
26.5453152	0
26.5575368	1.5259E-05
26.5697584	3.0518E-05
26.58198	1.5259E-05
26.5942016	0
26.6064232	6.10361E-05
26.6186448	1.5259E-05
26.6308664	0
26.643088	0
26.6553096	3.0518E-05
26.6675312	0
26.6797528	1.5259E-05
26.6919744	3.0518E-05
26.704196	3.0518E-05
26.7164176	0
26.7286392	3.0518E-05
26.7408608	0
26.7530824	1.5259E-05
26.765304	0
26.7775256	0
26.7897472	1.5259E-05
26.8019688	4.57771E-05
26.8141904	3.0518E-05
26.826412	0
26.8386336	0
26.8508552	3.0518E-05
26.8630768	3.0518E-05
26.8752984	0
26.88752	4.57771E-05
26.8997416	3.0518E-05
26.9119632	1.5259E-05
26.9241848	1.5259E-05
26.9364064	1.5259E-05
26.948628	0
26.9608496	1.5259E-05
26.9730712	3.0518E-05
26.9852928	0
26.9975144	0
27.009736	3.0518E-05
